pt1_cam1_X,pt1_cam1_Y
435.786120,400.978286
435.358271,401.237729
436.960123,400.769736
438.463392,401.975679
440.797695,402.254480
442.353124,402.220050
444.689954,402.818424
445.694128,402.888884
447.143983,402.783646
448.005449,401.609456
448.117490,402.008496
448.129603,401.631924
446.897213,402.531090
447.712410,400.766899
446.223232,400.279999
445.098550,400.018538
444.118764,399.853299
443.235225,399.318523
443.108866,399.336517
442.363869,399.545114
441.978281,400.357626
442.146696,400.868083
441.122936,401.259300
440.412368,401.785609
439.935252,402.141316
438.754520,403.859697
439.174381,401.817774
439.101852,402.202809
439.147304,402.091291
439.151336,402.371719
439.338973,402.213404
439.049009,402.935448
439.598768,401.897015
440.483840,401.046868
441.093410,401.299605
442.166684,401.158442
443.165466,401.057452
444.068758,400.949079
445.028716,400.939778
446.344270,400.927175
446.422421,400.895109
446.891053,400.917554
447.155382,400.928595
447.404554,400.497108
447.833827,400.904008
448.713522,400.555265
448.285062,401.952053
449.307348,401.185218
449.052373,401.741668
449.319333,401.965315
449.758054,401.200492
450.721700,401.214032
451.465663,401.687627
451.261727,402.305440
452.945623,402.821606
454.376240,401.450465
455.026849,401.784177
455.963658,401.779038
455.286153,401.226802
455.340188,401.359832
455.750386,401.183113
455.176157,400.594062
454.351023,400.853491
454.004933,401.597205
453.792638,401.175503
453.338206,400.198860
453.168177,400.108134
452.992827,399.778136
452.594597,400.379675
452.338289,401.485833
452.735852,402.142035
454.448620,402.799844
455.917482,401.211258
457.483085,402.232778
460.022538,401.973641
460.625280,403.013822
461.884553,403.196227
463.626335,403.729410
464.291500,401.871305
465.432954,401.501141
465.510929,400.868292
465.198442,402.320925
466.073377,401.108456
466.003091,400.288724
464.877062,400.452163
464.049624,400.161561
463.149399,400.010192
462.798289,399.936401
461.407397,399.967873
462.196580,401.057903
461.084454,401.003465
462.174839,400.346436
461.999591,401.072094
461.527817,402.166664
461.035712,401.577889
460.164476,402.127702
459.060056,402.793579
457.429131,402.905875
455.202437,402.282687
452.005207,401.933016
448.229274,400.819092
443.986640,401.235611
439.603679,400.451795
435.497048,399.620945
432.566097,400.231189
430.749220,401.033442
429.372154,400.069353
428.219774,399.708729
427.370578,400.554377
427.177827,401.094214
427.212650,401.279499
427.709768,401.754611
428.598945,402.742866
430.493496,403.062372
432.144521,403.290762
433.320446,403.295098
433.400216,403.087639
434.023516,402.893765
433.373175,401.650913
433.216002,401.948472
432.366172,401.504892
431.193084,401.788634
431.010690,400.419006
430.109361,399.913527
429.292830,399.723525
428.628829,399.279567
428.199285,399.880631
427.505223,400.129424
427.637629,399.583700
428.356126,400.926569
428.618232,401.963089
429.335900,401.942916
431.027780,402.662977
431.845039,402.235882
433.507607,402.738831
435.232913,402.868059
436.504333,402.925005
439.129413,402.410081
439.750414,402.070126
442.191877,402.316839
444.026058,402.102005
445.888429,401.397449
448.181305,401.322814
450.067852,401.013249
452.285987,399.952695
454.596950,399.520902
456.618511,400.691191
458.239090,400.860424
460.256084,400.001266
461.635637,400.829513
462.428533,400.151675
463.454496,399.786261
465.131308,400.362009
465.509967,401.927266
466.092366,401.663742
466.740080,401.851880
466.664754,401.490763
468.248633,401.469656
467.464920,401.886496
468.723230,400.757587
469.172694,401.083289
469.379802,400.743417
471.527931,401.135595
472.167587,400.701620
473.148090,402.499981
475.942435,400.836307
477.630428,400.739078
479.892798,400.629416
480.634774,401.993425
481.528486,402.025079
481.055738,402.343431
481.345520,401.162679
481.392862,401.770003
481.205038,400.740713
480.945938,399.551625
481.338945,400.227930
481.285134,401.689356
480.905600,401.241158
482.254237,400.393410
483.392199,399.530961
484.214740,400.423103
485.713433,402.091326
489.004724,401.235583
491.010147,402.874753
495.221990,403.225765
498.294000,403.941251
501.325771,405.082507
504.493514,404.093713
506.561104,404.046093
507.949553,405.768899
509.458253,404.831176
510.815316,403.508136
511.722164,401.901679
511.544397,403.810587
511.801831,400.970246
512.875255,398.746695
512.799028,399.482097
512.309900,401.029024
515.142327,400.216694
516.120822,402.333752
517.292083,401.254643
518.510833,401.758914
519.569610,403.831360
520.807746,403.822197
520.569114,404.720590
522.110603,403.109179
521.441870,403.150891
520.634535,403.180338
520.261063,404.839440
519.556993,402.998356
519.202319,403.234897
518.874052,402.418017
518.093093,403.041397
516.738210,400.348918
515.927238,401.342353
516.565661,401.397236
515.370469,401.961764
516.183309,401.956461
518.399700,401.767426
519.560852,402.055610
520.655481,400.555480
521.495018,403.103300
522.537415,402.836939
523.528486,402.974501
525.644252,402.021451
525.546731,403.907177
526.299460,403.421175
526.486849,403.312438
525.930457,403.050905
525.391698,402.282818
524.742955,402.997222
524.995487,401.846519
523.647012,401.737923
522.612265,401.137209
521.822106,402.120590
521.107891,402.119899
519.311782,401.250191
520.165260,402.226418
519.433784,401.476508
519.909034,403.018721
519.910777,401.435624
519.952278,401.110235
519.626069,402.677711
520.047139,403.390127
521.269476,404.011066
520.484028,404.083043
521.191790,403.103147
520.891234,402.938620
522.095014,402.838907
521.391422,403.232661
520.870475,401.508882
520.363893,403.621713
519.829055,402.011025
519.589953,401.838928
511.801991,402.088753
515.999204,402.097877
513.889353,401.392493
512.381861,401.295921
510.342785,401.333765
507.658934,401.955798
504.936432,402.154152
503.525783,401.846918
502.201364,401.922923
500.531195,402.189433
499.387256,400.522296
497.709801,402.588625
497.610891,402.792446
497.438779,403.008746
498.326955,403.622436
498.995647,403.184354
501.543142,403.197547
503.493328,404.159562
505.350120,403.106920
506.291552,402.985291
507.978422,403.987431
509.300348,402.938782
504.611415,403.103812
509.900749,403.325940
511.065898,401.863834
509.749244,401.063091
510.197420,400.967300
509.588569,400.822448
507.742662,401.720759
507.945828,401.243501
506.067999,401.258430
505.816470,401.821499
507.240495,401.131019
508.097101,401.125619
509.122585,401.005970
512.441714,401.144759
513.683879,403.070396
515.338256,403.246138
518.106052,404.025839
518.747389,404.293558
520.359140,404.222612
521.364823,404.051271
521.255660,401.953702
521.830253,403.104761
521.891330,401.689284
521.826547,401.491340
521.499112,402.001788
521.903044,402.433756
521.835127,401.178342
520.933917,401.026544
521.548278,402.557674
522.933642,402.204165
523.576489,401.049615
523.258715,401.971056
523.774518,401.977293
524.447066,402.484636
526.022120,401.981371
525.543213,403.235614
525.693924,404.924463
524.852744,404.586074
525.925555,402.121759
525.285040,403.324785
523.725660,403.055453
523.495561,402.883005
521.919078,402.203912
521.113849,403.196249
521.201170,402.825229
520.027889,401.342586
518.418976,400.555210
518.263948,400.981236
517.007825,402.017832
516.991775,402.156475
516.271217,401.750155
515.452375,401.406767
515.184023,402.890259
515.631584,402.641539
513.831621,402.418160
513.470819,402.081501
512.922279,403.229765
512.479320,402.255077
506.962170,402.210980
511.027567,403.316183
510.840767,402.268339
511.278102,402.174492
511.085730,403.685685
510.117424,403.632751
510.708924,403.014055
511.296051,402.326817
511.687427,402.226866
513.250919,401.734510
513.634683,402.077620
514.619096,402.132206
516.117643,403.689135
517.329231,402.268614
518.276584,402.175378
519.868228,402.338533
521.346396,404.453659
521.380528,402.956699
523.947568,404.344588
525.262169,402.968660
525.694005,402.942319
527.605384,401.317418
528.176176,402.150864
528.521846,403.696199
529.794685,401.121956
529.218216,402.995487
529.432471,402.043029
529.640025,402.088867
531.257500,401.103155
529.939981,402.061308
528.680136,402.700753
527.944975,402.215784
525.830973,402.259269
524.403465,402.232276
523.704616,403.650670
522.560557,402.119572
521.556673,402.019029
521.945853,402.061605
521.672576,402.185313
520.514289,403.166432
522.174799,402.379833
522.742138,403.127327
524.463703,401.772276
527.743637,402.799491
530.148576,403.079839
532.686631,404.311911
534.551069,402.495289
537.442498,403.001149
538.737996,403.123144
