moth,condition,axis,value,value_abs
2024_11_11,HIGH,fx,0.09041205,0.09041205
2024_11_11,HIGH,ty,-0.44754532,0.44754532
2024_11_11,HIGH,tz,-0.34088978,0.34088978
2024_11_11,LOW,fx,-0.049377903,0.049377903
2024_11_11,LOW,ty,0.3034152,0.3034152
2024_11_11,LOW,tz,-0.48886117,0.48886117
2024_11_01,HIGH,fx,-0.030097354,0.030097354
2024_11_01,HIGH,ty,0.40864053,0.40864053
2024_11_01,HIGH,tz,-0.099450424,0.099450424
2024_11_01,LOW,fx,0.0004488947,0.0004488947
2024_11_01,LOW,ty,-0.18325652,0.18325652
2024_11_01,LOW,tz,0.49991024,0.49991024
2024_11_05,HIGH,fx,-0.08818888,0.08818888
2024_11_05,HIGH,ty,0.2422819,0.2422819
2024_11_05,HIGH,tz,0.5756322,0.5756322
2024_11_05,LOW,fx,0.09148657,0.09148657
2024_11_05,LOW,ty,-0.07749641,0.07749641
2024_11_05,LOW,tz,0.6612082,0.6612082
2024_11_20,HIGH,fx,-0.11182747,0.11182747
2024_11_20,HIGH,ty,0.43172863,0.43172863
2024_11_20,HIGH,tz,-0.45081845,0.45081845
2024_11_20,LOW,fx,-0.1356713,0.1356713
2024_11_20,LOW,ty,0.36358225,0.36358225
2024_11_20,LOW,tz,-0.47130895,0.47130895
2024_11_08,HIGH,fx,-0.19727118,0.19727118
2024_11_08,HIGH,ty,0.39914668,0.39914668
2024_11_08,HIGH,tz,0.5268968,0.5268968
2024_11_08,LOW,fx,-0.25794718,0.25794718
2024_11_08,LOW,ty,-0.1342897,0.1342897
2024_11_08,LOW,tz,0.3680927,0.3680927
2024_11_04,HIGH,fx,0.013586395,0.013586395
2024_11_04,HIGH,ty,-0.026531423,0.026531423
2024_11_04,HIGH,tz,0.7221921,0.7221921
2024_11_04,LOW,fx,0.26739565,0.26739565
2024_11_04,LOW,ty,0.59193623,0.59193623
2024_11_04,LOW,tz,0.08560233,0.08560233
2024_11_07,HIGH,fx,0.16584675,0.16584675
2024_11_07,HIGH,ty,-0.441878,0.441878
2024_11_07,HIGH,tz,-0.14913084,0.14913084
2024_11_07,LOW,fx,0.18271653,0.18271653
2024_11_07,LOW,ty,-0.4157373,0.4157373
2024_11_07,LOW,tz,0.4030563,0.4030563
2025_01_30,HIGH,fx,-0.65543634,0.65543634
2025_01_30,HIGH,ty,-0.9740241,0.9740241
2025_01_30,HIGH,tz,-0.3855084,0.3855084
2025_01_30,LOW,fx,0.073037915,0.073037915
2025_01_30,LOW,ty,-0.21468571,0.21468571
2025_01_30,LOW,tz,0.57599133,0.57599133
