pt1_cam1_U,pt1_cam1_V
797.890352,316.439127
796.928742,318.041596
796.928742,318.041596
796.928742,318.041596
795.782121,317.703630
796.232367,319.579404
796.232367,319.829508
796.082285,320.329714
795.932203,321.580231
796.082285,322.205489
795.331875,322.580644
795.932203,322.455593
794.731546,323.080851
793.831054,323.831161
793.831054,323.831161
793.622634,324.113006
793.622634,324.992007
793.622634,325.500902
793.567111,325.593428
793.511588,325.732218
793.622634,326.426166
793.777917,326.139387
794.055221,325.908332
794.055221,326.370442
794.299018,326.936081
794.244242,327.118643
794.244242,327.666329
794.244242,327.666329
794.244242,327.803251
794.408570,328.122734
794.408570,328.122734
794.926074,328.033190
794.926074,328.587190
794.926074,328.587190
794.926074,328.587190
794.926074,329.879857
794.926074,329.879857
794.926074,329.879857
794.593630,330.803191
794.593630,330.803191
794.593630,330.803191
794.704445,331.357191
794.704445,331.911192
794.593630,332.188192
794.482815,333.019192
794.184807,332.945335
794.031244,333.713045
794.031244,332.945335
794.031244,333.457141
794.031244,334.352803
794.031244,334.352803
793.877682,334.992562
793.877682,335.888223
793.877682,336.144127
793.877682,336.272079
793.570557,337.295692
793.570557,337.295692
793.570557,338.319306
793.570557,338.703161
793.570557,338.959064
793.724119,339.982677
793.724119,340.110629
794.053373,340.153186
794.053373,340.521749
794.053373,340.706030
793.942789,341.351016
793.942789,341.903860
793.942789,342.180283
793.942789,342.917409
793.942789,343.378113
793.832205,343.838817
793.832205,344.483802
793.832205,345.220928
793.832205,345.220928
793.832205,345.681632
793.832205,346.510899
793.649819,347.272618
793.791390,348.334259
793.791390,348.334259
793.932961,348.806099
793.791390,349.513860
793.791390,349.631820
793.791390,349.631820
793.791390,350.221621
793.791390,350.929381
793.791390,351.991022
793.791390,351.991022
793.791390,352.462863
793.791390,352.462863
793.932961,353.052663
793.932961,353.524504
793.791390,353.996344
793.932961,355.057985
793.932961,355.057985
793.932961,355.175945
794.074532,355.529826
793.791390,356.945347
793.932961,356.827387
793.972651,357.230072
793.972651,357.930874
793.972651,358.058292
793.896190,358.376838
794.125574,358.759094
794.049113,359.332477
794.049113,359.842150
794.049113,360.606661
794.125574,361.052626
794.125574,361.562299
794.049113,362.071973
794.329968,361.800620
794.329968,361.955459
794.237052,362.032879
794.237052,362.497398
794.237052,362.807077
794.422884,363.194176
794.329968,363.271595
796.081904,363.409285
796.081904,363.409285
796.164324,364.370722
796.081904,364.714092
796.164324,365.263484
796.164324,365.881550
796.164324,366.087572
796.658843,362.585197
796.494003,362.997241
796.494003,362.997241
796.576423,362.997241
796.576423,362.997241
796.576423,362.997241
796.576423,363.203263
796.576423,363.271937
796.576423,364.302048
796.658843,365.057462
796.906103,366.362269
796.906103,366.774313
796.823683,367.392379
796.823683,367.392379
796.823683,367.667075
796.823683,367.804423
796.823683,368.147793
796.823683,368.147793
796.741263,368.491163
796.823683,368.697186
796.823683,368.903208
796.997232,370.250718
797.117556,370.952515
797.358204,371.754569
797.237880,372.656880
797.358204,372.356109
797.478529,372.957650
797.839501,372.957650
797.839501,373.358677
798.441122,374.461501
798.441122,374.361244
798.441122,374.762271
799.020579,375.143802
798.951182,375.548562
799.020579,376.358082
799.089975,376.936310
799.020579,377.456716
799.020579,377.803653
799.020579,377.803653
799.089975,378.092767
799.020579,378.728818
799.020579,378.786641
799.089975,379.307047
799.159372,379.653984
799.089975,379.827452
799.089975,379.827452
799.020579,380.290035
799.020579,380.405681
799.020579,381.157378
799.228769,382.024721
799.298165,382.834240
799.228769,383.817229
799.714351,384.400901
799.503761,385.190509
799.503761,384.839572
799.503761,385.015041
799.503761,385.892383
799.503761,387.208396
799.503761,387.647067
799.609056,387.910270
799.629286,388.572385
799.629286,388.572385
799.564435,389.004663
799.758986,389.220803
799.694136,389.869221
799.694136,390.301499
799.694136,390.301499
799.694136,390.301499
799.823837,390.787813
799.823837,391.490265
799.954735,391.979532
799.954735,392.295073
799.954735,392.347663
799.828502,392.820973
799.891618,392.978743
799.891618,393.609824
799.828502,394.240904
799.765385,394.977165
799.828502,395.240115
799.954735,395.608245
799.891618,396.028965
799.956693,396.321293
799.956693,396.483060
799.978265,396.968359
800.042980,397.777190
800.129267,398.711840
800.107696,399.358905
800.086124,399.970023
800.245508,400.537540
800.305294,401.234955
