date,imass,fmass,bodyLength,time,sFWarea,frate,msixty
moth_1,1.443,1.924,52.75,72,722,0.00668055555555555,1.84383333333333
moth_2,1.651,2.083,51.5,92,743,0.00469565217391305,1.93273913043478
moth_3,1.765,2.633,53.5,127,759,0.00683464566929134,2.17507874015748
moth_4,1.546,2.657,54,141,689,0.00787943262411347,2.01876595744681
moth_5,2.124,2.705,50.5,95,734,0.00611578947368421,2.49094736842105
moth_6,2.207,2.681,55,90,781,0.00526666666666667,2.523
moth_7,1.642,2.692,55,160,708,0.0065625,2.03575
moth_8,1.52,2.459,54.5,116,723,0.0080948275862069,2.00568965517241
moth_9,1.457,2.09,53,111,677,0.0057027027027027,1.79916216216216
moth_10,1.744,2.491,52.25,113,714,0.00661061946902655,2.14063716814159
moth_11,1.571,2.068,54.75,62,698,0.00801612903225807,2.05196774193548
moth_12,2.146,2.749,52.5,88,840,0.00685227272727273,2.55713636363636
